,month,lower_limit,higher_limit
0,January,76.09322425739823,259.17842631956944
1,February,45.84068340790034,235.73607678706514
2,March,38.78812339774427,179.36998980735248
3,April,20.58638687548155,192.12316997951842
4,May,4.365889033494085,174.16945547986074
5,June,30.108675949678705,129.95902797578793
6,July,31.98352323922549,196.37508747845186
7,August,33.55117013250914,215.65036313581345
8,September,22.801002041643045,191.72116505049027
9,October,29.44265289085054,169.61384538534298
10,November,26.5928909732486,208.87830897841803
11,December,55.60858534626669,213.59822546653325
