,month,lower_limit,higher_limit
0,January,5.883945220041468,142.26561607176495
1,February,-18.07144128839448,173.51855967267028
2,March,31.190004778350755,163.64082210203637
3,April,0.8136965541554417,187.90903344071117
4,May,11.669613478566845,154.44115104504604
5,June,53.74884905375557,164.32179760991102
6,July,47.92859102358593,146.2022100508657
7,August,45.18626110341919,153.13837868451628
8,September,36.384580967810955,147.821854586189
9,October,1.5920448135177452,129.98274873177257
10,November,-7.985256730664588,138.8136434027312
11,December,-7.555283466706747,102.40199458177341
