,month,statistic,p-value
0,January,-0.7603657104408889,0.45001371579573257
1,February,1.5668578720448643,0.12278180586455162
2,March,3.5203841954155943,0.0008295297660173876
3,April,1.5687078453152254,0.12215609252762766
4,May,0.9863443485074153,0.3279251022770475
5,June,4.88977958487719,8.361355126273266e-06
6,July,1.0453400781704947,0.30005904284125623
7,August,0.2803023347703929,0.7802097513719346
8,September,0.13006129176595949,0.8969679673508002
9,October,-1.8404174418345949,0.07065378905299823
10,November,-1.4165822621842603,0.1619538904664128
11,December,-1.7429686123954347,0.09231299191676542
